GlobalRank,AreaRank,OperationId,OperationName,FieldKey,PriorityBucket,PriorityScore,Title,Summary,Evidence,RecommendedAction,ExampleAbilityId,SampleValues
1,1,23,APPLY_ABILITY,ExtData[0].Val7,Critical,229,APPLY_ABILITY :: ExtData[0].Val7,APPLY_ABILITY ext-data payload-B field for the slot-local embedded payload.,"Confidence: Structural. Non-zero rows: 889. Distinct values: 33. Tags: Damage, Disarm, Heal, Immunity, Knockback, Knockdown, Root, Silence, Snare, Stagger, Stun. Samples: 1, 10, 100, 11, 12, 120, 1200, 1800, 2, 20, 2000, 25.",Turn this structural role into named per-value semantics using the value-evidence and companion-field clusters.,3,"1, 10, 100, 11, 12, 120, 1200, 1800, 2, 20, 2000, 25"
2,2,23,APPLY_ABILITY,ExtData[1].Val7,Critical,207,APPLY_ABILITY :: ExtData[1].Val7,APPLY_ABILITY ext-data payload-B field for the slot-local embedded payload.,"Confidence: Structural. Non-zero rows: 445. Distinct values: 24. Tags: Damage, Disarm, Heal, Immunity, Knockback, Knockdown, Root, Silence, Snare, Stagger, Stun. Samples: 1, 10, 100, 15, 1800, 2, 20, 2000, 22, 249, 25, 29.",Turn this structural role into named per-value semantics using the value-evidence and companion-field clusters.,3,"1, 10, 100, 15, 1800, 2, 20, 2000, 22, 249, 25, 29"
3,3,12,CC,FlagsRaw,Critical,199,CC :: FlagsRaw,CC packed control bitfield for branch and behavior selection.,"Confidence: Structural. Non-zero rows: 582. Distinct values: 61. Tags: Damage, Disarm, Heal, Immunity, Knockdown, Root, Silence, Snare, Stun. Samples: 1, 1023, 1024, 12, 124, 126, 127, 128, 129, 137, 14, 16.",Turn this structural role into named per-value semantics using the value-evidence and companion-field clusters.,3,"1, 1023, 1024, 12, 124, 126, 127, 128, 129, 137, 14, 16"
7,4,12,CC,ExtData[1].Val7,Critical,181,CC :: ExtData[1].Val7,CC ext-data payload-B field for the slot-local control payload.,"Confidence: Structural. Non-zero rows: 169. Distinct values: 19. Tags: Damage, Disarm, Heal, Immunity, Knockdown, Root, Silence, Snare, Stun. Samples: 1, 100, 168, 20, 200, 201, 2101, 24, 25, 3, 30, 33.",Turn this structural role into named per-value semantics using the value-evidence and companion-field clusters.,3,"1, 100, 168, 20, 200, 201, 2101, 24, 25, 3, 30, 33"
9,5,23,APPLY_ABILITY,FlagsRaw,Critical,177,APPLY_ABILITY :: FlagsRaw,Packed raw flag bitfield for the component payload.,"Confidence: Structural. Non-zero rows: 260. Distinct values: 12. Tags: Damage, Disarm, Heal, Immunity, Knockback, Knockdown, Root, Silence, Snare, Stagger, Stun. Samples: 1, 12, 16, 18, 2, 24, 28, 3, 4, 5, 7, 8.",Turn this structural role into named per-value semantics using the value-evidence and companion-field clusters.,3,"1, 12, 16, 18, 2, 24, 28, 3, 4, 5, 7, 8"
16,6,12,CC,ExtData[0].Val7,Critical,174,CC :: ExtData[0].Val7,CC ext-data payload-B field for the slot-local control payload.,"Confidence: Structural. Non-zero rows: 354. Distinct values: 11. Tags: Damage, Disarm, Heal, Immunity, Knockdown, Root, Silence, Snare, Stun. Samples: 1, 101, 14741, 15, 167, 2, 20, 201, 25, 26540, 50.",Turn this structural role into named per-value semantics using the value-evidence and companion-field clusters.,3,"1, 101, 14741, 15, 167, 2, 20, 201, 25, 26540, 50"
19,7,23,APPLY_ABILITY,ExtData[5].Val6,High,168,APPLY_ABILITY :: ExtData[5].Val6,APPLY_ABILITY ext-data reference/link field for the slot-local embedded payload.,"Confidence: Structural. Non-zero rows: 35. Distinct values: 11. Tags: Damage, Disarm, Heal, Immunity, Knockback, Knockdown, Root, Silence, Snare, Stagger, Stun. Samples: 25424, 25425, 25426, 25427, 25428, 25429, 25430, 25431, 25433, 4, 5.",Turn this structural role into named per-value semantics using the value-evidence and companion-field clusters.,3,"25424, 25425, 25426, 25427, 25428, 25429, 25430, 25431, 25433, 4, 5"
25,8,23,APPLY_ABILITY,ExtData[2].Val7,High,164,APPLY_ABILITY :: ExtData[2].Val7,APPLY_ABILITY ext-data payload-B field for the slot-local embedded payload.,"Confidence: Structural. Non-zero rows: 107. Distinct values: 7. Tags: Damage, Disarm, Heal, Immunity, Knockback, Knockdown, Root, Silence, Snare, Stagger, Stun. Samples: 1, 100, 1800, 25, 3000, 4, 50.",Turn this structural role into named per-value semantics using the value-evidence and companion-field clusters.,3,"1, 100, 1800, 25, 3000, 4, 50"
26,9,12,CC,ExtData[0].Val1,High,162,CC :: ExtData[0].Val1,CC ext-data branch selector for the slot-local control payload.,"Confidence: Structural. Non-zero rows: 460. Distinct values: 2. Tags: Damage, Disarm, Heal, Immunity, Knockdown, Root, Silence, Snare, Stun. Samples: 1, 2.",Turn this structural role into named per-value semantics using the value-evidence and companion-field clusters.,3,"1, 2"
27,10,12,CC,ExtData[2].Val7,High,162,CC :: ExtData[2].Val7,CC ext-data payload-B field for the slot-local control payload.,"Confidence: Structural. Non-zero rows: 39. Distinct values: 13. Tags: Damage, Disarm, Heal, Immunity, Knockdown, Root, Silence, Snare, Stun. Samples: 1, 10, 100, 20, 25, 29, 350, 40, 49, 59, 74, 89.",Turn this structural role into named per-value semantics using the value-evidence and companion-field clusters.,3,"1, 10, 100, 20, 25, 29, 350, 40, 49, 59, 74, 89"
